[2026-06-15T15:04:52.370Z] GET http://localhost:3001/_next/static/chunks/%5Broot-of-the-server%5D__0cbk-n2._.css → 304 (5ms, ?B)
[2026-06-15T15:04:52.371Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 200 (14ms, ?B)
[2026-06-15T15:04:52.371Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (20ms, ?B)
[2026-06-15T15:04:52.371Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (18ms, ?B)
[2026-06-15T15:04:52.371Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (16ms, ?B)
[2026-06-15T15:04:52.371Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (14ms, ?B)
[2026-06-15T15:04:52.371Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (18ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 200 (15ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (15ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/_1anvha4._.js → 200 (15ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/turbopack-_01_ro95._.js → 200 (17ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_063hrcr._.js → 200 (23ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/app_layout_tsx_007e4b2._.js → 200 (17ms, ?B)
[2026-06-15T15:04:52.372Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_0nst43j.js → 200 (17ms, ?B)
[2026-06-15T15:04:52.395Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (3ms, ?B)
[2026-06-15T15:04:52.395Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 200 (3ms, ?B)
[2026-06-15T15:05:35.813Z] POST http://localhost:3001/admin → 303 (177ms, 9461B)
